Optimization Test Results
----------------------------
| Optimization | Status    |
|--------------|-----------|
| adce         | secure   |
| always-inline         | secure   |
| argpromotion         | secure   |
| block-placement         | insecure   |
| break-crit-edges         | secure   |
| codegenprepare         | insecure   |
| constmerge         | secure   |
| dce         | secure   |
| deadargelim         | secure   |
| dse         | secure   |
| function-attrs         | secure   |
| globaldce         | secure   |
| globalopt         | secure   |
| gvn         | secure   |
| indvars         | secure   |
| inline         | secure   |
| instcombine         | secure   |
| aggressive-instcombine         | secure   |
| internalize         | insecure   |
| ipsccp         | secure   |
| ir-normalizer         | insecure   |
| jump-threading         | secure   |
| lcssa         | secure   |
| licm         | secure   |
| loop-deletion         | secure   |
| loop-extract         | secure   |
| loop-reduce         | secure   |
| loop-rotate         | secure   |
| loop-simplify         | secure   |
| loop-unroll         | secure   |
| loop-unroll-and-jam         | secure   |
| lower-global-dtors         | insecure   |
| lower-atomic         | insecure   |
| lower-invoke         | insecure   |
| lower-switch         | insecure   |
| mem2reg         | secure   |
| memcpyopt         | secure   |
| mergefunc         | secure   |
| mergereturn         | secure   |
| partial-inliner         | secure   |
| reassociate         | secure   |
| rel-lookup-table-converter         | secure   |
| reg2mem         | secure   |
| sroa         | secure   |
| sccp         | secure   |
| simplifycfg         | secure   |
| sink         | secure   |
| simple-loop-unswitch         | secure   |
| strip         | secure   |
| strip-dead-debug-info         | secure   |
| strip-dead-prototypes         | secure   |
| strip-nondebug         | secure   |
| tailcallelim         | secure   |
